Name,Url,Authority,Started On,Finished On,License Number
Google Cloud Certified Professional Cloud Architect,,Google,Nov 2021,,
Java Online Course,https://www.geeksforgeeks.org/certificate/d06ad475613145624eb8624be734a856?utm_source=socials&utm_medium=cc_link,GeeksforGeeks,Apr 2025,,
Cpp Advanced,https://www.udemy.com/certificate/UC-07180458-0ee2-4366-a3f5-583cb322cb38/,Udemy,Oct 2023,,
Data Engineer Associate,,Udemy,Aug 2024,,
Full Stack Developer Bootcamp – Master Frontend to Backend,https://www.geeksforgeeks.org/certificate/751ee712941dd73ca6d238f1759bc923?utm_source=socials&utm_medium=cc_link,GeeksforGeeks,Jun 2025,,751ee712941dd73ca6d238f1759bc923
